Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,Advanced AI Wound Care Network(PCAIS Project),"Swift Medical, Giishkaandago'Ikwe Health Services, Brightshores Health System, University of Northern BC (UNBC) - Centre for Technology Adoption for Aging in the North",PCAIS,4.5,8.99,03/12/2024,"Toronto, ON"
Digital Technology Cluster,Data Driven Surgical Mining(PCAIS Project),"Novamera Inc., Great Atlantic Resources Corp, Maritime Resources Corp, Memorial University",PCAIS,3.53,10.01,03/03/2024,"Oakville, ON"
Digital Technology Cluster,Leveraging large language models to predict and mitigate patient risk of hospitalization and optimize home care delivery(PCAIS Project),"Alayacare, Bien Chez Soi, Acclaim Health, Polytechnique Montréal",PCAIS,1.14,3.26,02/29/2024,"Montreal, QC"
Digital Technology Cluster,Transforming Cancer Trials with Digital Twins,"Altis Labs, SapienML, Bayer AG, AstraZeneca, Trillium Health Partners (THP), University of Calgary, Calgary Image Processing and Analysis Center, Advanced Research Computing, Alberta Health Services",General,2.28,6.04,04/06/2023,"Toronto, ON"
Digital Technology Cluster,Advanced Robotic Sorting of Consumer Recyclables,"Metaspectral, Merlin Plastics, University of British Columbia (UBC), Magmar Manufacturing",General,4.48,10.44,04/04/2023,"New Westminster, BC"
Digital Technology Cluster,Canadian Platform for Genomics and Precision Health,"DNAstack, Autism Speaks Canada, Centre of Genomics and Policy / Royal Institution for the Advancement of Learning, McGill University, Cyclica, Genome Canada, Roche Canada, Holland Bloorview Kids Rehabilitation Hospital, The Hospital for Sick Children (SickKids), Integrate.ai, Pacific BioSciences Research Centre Inc. , Public Health Agency of Canada, University of New Brunswick, Global Alliance for Genomics and Health, Genome Alberta, Genome Atlantic, Genome BC, Genome Prairie, Genome Québec, Ontario Genomics",General,6.03,14.46,04/03/2023,"Toronto, ON"
Digital Technology Cluster,Health Compass,"ORX Surgical, Tali AI, WELL Health Technologies, Simon Fraser University (SFU), Lululemon Athletica, Canadian Health Systems, Ontario Chiropractic Association, Health Data Coalition, Aetna International",General,3.07,7.27,01/13/2023,"Richmond, BC"
Digital Technology Cluster,Digital Innovation and Leadership (DIAL),"Simon Fraser University (SFU), Magnet.Today, Traction on Demand, First Nations Technology Council, Radius SFU, Vancouver Economic Commission (VEC)",General,0.9,8.36,11/17/2022,"Vancouver, BC"
Digital Technology Cluster,Continuous Connected Patient Care,"Medtronic Canada, 3D Bridge Solutions, Cloud DX, Excelar Technologies (Connected Displays Inc.), StarFish Medical, Providence Health Care Ventures (PHCV), Simon Fraser University (SFU), Vector Institute",General,5.22,12.8,11/08/2022,"Brampton, ON"
Digital Technology Cluster,AI-Enabled Metaverse Campus,"OVA.ai, Babcock Canada, RCN Naval Training Development Centre (Pacific), Cognitive3D, Masterpiece Studio, Toronto Metropolitan University",General,2.34,5.44,09/07/2022,"Chemin Sainte-Foy, QC"
Digital Technology Cluster,Indigenous Digital Health (IDHE),"Mustimuhw Information Solutions (MIS), Cambian Business Services, Canada Health Infoway, First Nations Health and Social Secretariat of Manitoba, Lifelabs, Trinity Western University, First Nations Digital Health Ontario, Sioux Lookout First Nations Health Authority, SE Health, Chief Red Bear Children's Lodge (Cowessess First Nation), Cowichan Tribes, Mitacs",General,4.3,10.2,07/21/2022,"Duncan, BC"
Digital Technology Cluster,Iris,"Synthesis Health, BC Cancer Agency, GE Healthcare, Konica Minolta Precision Medicine, University of British Columbia (UBC), Vancouver Coastal Health, Vancouver Coastal Health Research Institute, Mitacs, SapienML, CAN Health Network",General,5.3,13.5,07/14/2022,"Vancouver, BC"
Digital Technology Cluster,Virtual Production Innovation Studio (VPIS),"Emily Carr University of Art and Design (ECUAD), Vancouver Film School, Unity Technologies, William F White International, Laboratory of Artistic Intelligence, Rushcut Media (Zeddrive), University of Victoria (UVic), University of British Columbia (UBC), Capilano University, Showmax Event Services, Warner Media",General,0.08,0.53,07/11/2022,"Vancouver, BC"
Digital Technology Cluster,Diversity Assessment Tool,"Simon Fraser University, Toronto Metropolitan University, Magnet, D2L, SalesChoice, Ontario Chamber of Commerce, SheEO, Life Sciences Ontario, Black Business and Professional Association, North Forge Manitoba",General,0.15,1.42,06/23/2022,"Vancouver, BC"
Digital Technology Cluster,The Upskilling Imperative,"Lighthouse Labs, Saskatchewan Polytechnic, XLrator, Vendasta Technologies, Paradigm Consulting Group, Mapster Technology, Graphem Solutions, Berkeley Payment Solutions, Knorket.AI, TalentMarketplace, Fintros AI, ThinkOn, SDAW, X Movement",General,0.15,1.14,05/19/2022,"Vancouver, BC"
Digital Technology Cluster,Digital Lift,"BC Tech Association, British Columbia Institute of Technology (BCIT), Riipen Networks, SkyHive Technologies, Virtro Technologies, Accenture, Amazon.com, Finning International, Providence Health Care, SAP, Seaspan, MDA Systems, AbCellera Biologics",General,0.6,4.01,05/19/2022,"Vancouver, BC"
Digital Technology Cluster,Asia Competence for Tech Professionals,"Asia Pacific Foundation of Canada, Canadian Forest Products, Mosaic Forest Management, Teck Resources",General,0.02,0.15,05/04/2022,"Vancouver, BC"
Digital Technology Cluster,"Intrapreneurial Development, Enrichment and Action (IDEA Lab)","Evolve Strategies, DigitBC, YMCA Metro Vancouver",General,0.08,0.65,05/04/2022,"Vancouver, BC"
Digital Technology Cluster,Compass,"HelpSeeker, Canadian Mortgage and Housing Corporation, City of Lethbridge, Corsac Technologies, Homeward Trust Edmonton, Medicine Hat Community Housing Society, University of Toronto, First Nations Information Governance Centre, Microsoft, Mitacs",General,1.5,4.94,02/22/2022,"Calgary, AB"
Digital Technology Cluster,Standard Data Platform for Autonomous Agriculture,"Verge Ag, Terramera, i-Open Technologies, Simon Fraser University, QuantoTech, Coutts Agro, Mitacs, Olds College, Whipcord, InBridge",General,4.35,10.81,02/15/2022,"Calgary, AB"
Digital Technology Cluster,Mining Microbiome and Analysis Platform,"Teck Resources, Koonkie, BGC Engineering, University of British Columbia, Illumnia, Microsoft, Centre for Excellence in Mining Innovation, Genome BC, Rio Tinto Canada Management, Allonnia Canada, Government of BC -- Ministry of Energy, Mines and Low Carbon Innovation, Ginko Bioworks, Tahltan Central Government",General,3.56,11.68,02/01/2022,"Vancouver, BC"
Digital Technology Cluster,CanDETECT,"Canexia Health, DNAstack, Illumina, Microsoft, Oxford Nanopore, Queen's University, University Health Network, BC Cancer Research, Kingston General Health Research Institute, Kingston Health Science Centre",General,5.31,17.88,01/11/2022,"Vancouver, BC"
Digital Technology Cluster,Optimizing Healthcare through Applied Digital Twinning (Feasibility Study),"Providence Healthcare, Cisco, University of British Columbia (UBC), LlamaZoo, IBI Group, Empower Health, Microsoft, Change Healthcare",General,0.1,0.13,12/02/2021,"Vancouver, BC"
Digital Technology Cluster,Virtual Clean-Energy Training Platform for First Nations Communities,"British Columbia Institute of Technology (BCIT), Siemens Canada, Denesoline Corp",General,0.15,1.2,11/30/2021,"Lutsel K'e, NT"
Digital Technology Cluster,Earth X-ray for Low Impact Mining,"Ideon Technologies, Dias Geophysical, Fireweed Zinc, Simon Fraser University",General,5.58,13.5,11/25/2021,"Richmond, BC"
Digital Technology Cluster,Coastal First Nations Connectivity Network,"Coastal First Nations, First Nations Technology Council, Innovation Island, Llama ZOO Interactive, Microsoft, Rogers, TakingITGlobal, Vancouver Island University",General,0.13,0.73,11/16/2021,"Vancouver, BC"
Digital Technology Cluster,Digital Aircraft Record System (DARS),"TrustFlight, Boeing, RaceRocks, University of British Columbia (UBC)",General,4.22,10.18,11/15/2021,"Vancouver, BC"
Digital Technology Cluster,Athena Digital Leaders,"AINBC, KPMG, University of British Columbia (UBC), Simon Fraser University (SFU), Northeastern University, Immigrant Employment Council of BC, Variational AI, FinnAI",General,0.15,1.06,07/27/2021,"Vancouver, BC"
Digital Technology Cluster,Wellbeing.ai,"Lululemon Athletica, Wysdom.AI, Microsoft, Queen's University, Mitacs",General,8.49,20,07/27/2021,"Vancouver, BC"
Digital Technology Cluster,Autism Sharing Initiative,"DNAstack Corp, Hoffman-La Roche Limited (Roche Canada), University of British Columbia, AutismSpeaks, AutismSpeaks Canada, SickKids, McGill University, Excelar Technologies, Molecular You, Pacific Autism Family Centre Foundation",General,4.31,11.2,06/02/2021,"Vancouver, BC"
Digital Technology Cluster,Workplace Brain Health,"Interaxon, Cambridge Brain Sciences, Western University, Hatch",General,0.87,2.04,03/12/2021,"Vancouver, BC"
Digital Technology Cluster,Canadian Tech Talent Accelerator,"NPower Canada, Microsoft Canada, Blueprint",General,1.43,8.96,01/28/2021,Multiple Locations
Digital Technology Cluster,Multi-Omics and Medical Imaging Engine,"PHEMI Systems Corp., Providence Health Care, BC Ministry of Health, Provincial Health Services Authority, Vancouver Coastal Health (VCH)",General,0.2,0.26,11/19/2020,"Vancouver, BC"
Digital Technology Cluster,COVID Cloud (COVID-19 Project),"DNAstack, BioSymetrics, The Centre of Genomics and Policy at McGill University, FACIT, Genome BC, Mannin Research, McMaster University, Ontario Genomics, Ontario Institute for Cancer Research (OICR), Roche Diagnostics, Sunnybrook Research Institute, Vector Institute, Microsoft, Global Alliance for Genomics & Health, Hospital for Sick Children",COVID-19,3.43,5.4,10/22/2020,"Toronto, ON"
Digital Technology Cluster,Screen O/S (COVID-19 Project),"EcoScreen Solutions Inc., EcoMine Technologies, UBC, Patriot One Technologies, Univerity of North Dakota, Nomadic Pictures, Thunderbird Entertainment",COVID-19,0.56,1.17,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Scaling Safe Food Delivery For Canadians (COVID-19 Project),"FoodX, Microsoft, ETG Consulting, Routific, OpsGuru, AtlaML, Meridian Farm Market, SPUD, 1Qbit",COVID-19,2.83,3.95,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Lifesaver II (COVID-19 Project),"Unity Technologies (formerly Finger Food Advanced Technology), MNP (formerly T4G), Spectrum MD, EventBase, Matidor, Microsoft, UBC, Technical Safety BC, FEMA",COVID-19,2.31,4.37,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Raven2 (COVID-19 Project),"Variational AI, adMare Bioinnovations, UBC",COVID-19,1.88,2.37,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Beacon - Realtime Global Data Sharing Network,"DNAstack, Global Alliance for Genomics & Health",COVID-19,0.25,0.3,10/22/2020,"Toronto, ON"
Digital Technology Cluster,Risk Management Frameworks for Workplace Safety,"EcoScreen Solutions Inc., University of British Columbia (UBC), Patriot One Technologies",COVID-19,0.09,0.18,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Feeding our Front Lines,"FoodX, Food-X Urban Delivery, ETG Consulting, SPUD, 1Qbit, adaptech",COVID-19,0.25,0.5,10/22/2020,"Burnaby, BC"
Digital Technology Cluster,Lifesaver: Predicting Emerging Pandemics,"Unity Technologies (formerly Finger Food Advanced Technology), MNP (formerly T4G), University of British Columbia (UBC)",COVID-19,0.1,0.35,10/22/2020,"Port Coquitlam, BC"
Digital Technology Cluster,Rapid Repurposing of Drugs for COVID-19,"Variational AI, adMare Bioinnovations",COVID-19,0.25,0.47,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Healthcare to Homecare,"XCO Tech, University of Victoria, Providence Health Care, iClinic Systems, Greenroom Research, Kinduct, Ontario Brain Institute, Quebec Network for Research on Aging, Canadian Frailty Network, Government of BC",General,1.1,2.46,08/31/2020,"Vancouver, BC"
Digital Technology Cluster,TRUSTSPHERE,"Careteam, UBC, BC Children`s Hospital Research Institute​, IDENTOS, Secure Key, MedStack, SmileCDR, Mitacs",General,2.25,5.91,08/31/2020,"Vancouver, BC"
Digital Technology Cluster,Healthcare to Homecare (Feasibility Assessment),"XCO Tech, Careteam Technologies, iClinic Systems, Indoc Research, Kinduct Technologies, Ontario Brain Institute, Providence Health Care, PwC, Quebec Network for Research on Aging (QNRA), Theory and Practice",General,0.1,0.13,08/31/2020,"Penticton, BC"
Digital Technology Cluster,Protecting our Oceans,"MDA Systems, VizworX and SFU",General,0.66,1.55,08/13/2020,"Vancouver, BC"
Digital Technology Cluster,Satellite-based Environmental Analytics,"UrtheCast, Microsoft, Hatfield Consultants, Environment and Climate Change Canada, BGC Engineering Inc., BC Parks Foundation, Mitacs, University of Victoria",General,1.12,2.91,08/13/2020,"Vancouver, BC"
Digital Technology Cluster,AI-based Prediction Tool for COVID-19 Patient Care (COVID-19 Project),"16bit, Sunnybrook Health Sciences Centre, London Health Sciences Centre, Layer 6 AI, SofTx Innovations, Roche Diagnostics, Vector Institute, Carbon60 Operating Co. Ltd.",COVID-19,1.3,1.87,08/06/2020,"Toronto, ON"
Digital Technology Cluster,Supporting Canada's Elderly During the COVID-19 Pandemic (COVID-19 Project),"3DBridge, Careteam, Wellness Pharmacy Group, Wescana Pharmacy Group, SnapPea Design, CenseoPharm Consulting, MedStack, ProLucid Technologies",COVID-19,0.65,0.87,08/06/2020,"Toronto, ON"
Digital Technology Cluster,Mobile Wellness Declaration (COVID-19 Project),"BioConnect, Mara Technologies, Suprema, MaRS Discovery District, Schlegel Villages",COVID-19,0.57,0.95,08/06/2020,"Toronto, ON"
Digital Technology Cluster,Project ABC (COVID-19 Project),"Cambian, LifeLabs, IBM, WELL Health, Shift Health Paradigms (Tickit Health), Providence Health Care, Simon Fraser University (SFU), Digital Health Circle, Mitacs",COVID-19,3.01,4.04,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,Project ACTT - Access to Cancer Testing & Treatment in Response to COVID-19 (COVID-19 Project),"Canexia Health, AstraZeneca Canada, Eastern Ontario Regional Laboratory Association (EORLA), Xtract AI, GenoLife, Illumina, LifeLabs, Novateur, Queen's University, Semaphore Solutions, Institute of Health Economics, Nova Scotia Health Authority, Pfizer, Novartis",COVID-19,1.59,2.59,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,Leveraging AI in Canada's Social Response to COVID (COVID-19 Project),"HelpSeeker, AltaML, Corsac Technologies, Canadian Mortgage and Housing Corporation, Mount Royal University, York University, Canadian Observatory on Homelessness, University of Calgary, A Way Home, City of Lethbridge, City of Abbotsford, Edmonton Police Services, Sagesse",COVID-19,0.6,0.68,08/06/2020,"Calgary, AB"
Digital Technology Cluster,HEALTHYACCESS (COVID-19 Project),"Invixium Access Inc., Invent Canada, MARA Technologies Inc., Manawa",COVID-19,0.85,1.6,08/06/2020,"Toronto, ON"
Digital Technology Cluster,Looking Glass: Protecting Canadians in a Return to Community (COVID-19 Project),"Kings Distributed Systems, Queen's University, Limestone Analytics, aiSight inc., Centre of Excellence in Next Generation Networks (CENGN), Server Cloud Canada, The Dymond Group, AMPD Holdings, PHEMI, Krate Distributed Information Systems",COVID-19,1.3,2.2,08/06/2020,Multiple Locations
Digital Technology Cluster,Emergency Food Distribution Network (COVID-19 Project),"Mesh Exchange (FoodMesh), Traction on Demand, United Way, Overwaitea Food Group, Daiya Foods, Buy-Low Foods, Vancity enviroFund, Metro Vancouver, National Zero Waste Council, City of Richmond, Fraser Valley Regional District, Vancouver Coastal Health, Fraser Health Authority, Input Logic",COVID-19,2,2.44,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,Reduce Risk: Post-COVID Analytics Platform for Returning to Work (COVID-19 Project),"Molecular You, AltaML, MRM Proteomics, Roche Diagnostics, Alberta Blue Cross, UBC",COVID-19,1.41,2.24,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,Clothing to Remotely Connect to Care (COVID-19 Project),"Myant, SouthLake Hospital, University Health Network (UHN), Toronto Rehabilitation Institute (KITE), The Hospital for Sick Children (SickKids), Holland Bloorview Kids Rehabilitation Hospital",COVID-19,1.12,2.24,08/06/2020,"Toronto, ON"
Digital Technology Cluster,Rapid Assessment of Disability Claims During and Post COVID-19 (COVID-19 Project),"Owl Labs, Royal Bank of Canada Insurance (RBCI), Reinsurance Group of America (RGA), Deloitte Canada, Labarge Weinstein LLC",COVID-19,4.36,8.57,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,ReSTART: Post-COVID Surgeries and Medical Procedures (COVID-19 Project),"SeamlessMD, Excelar Technologies, Xerus Medical, AltaML, Fraser Health, Trillium Health Partners, Toronto East Health Network, Mount Sinai Hospital, St. Joseph's Healthcare Hamilton, St. Joseph's Healthcare Toronto, St. Michael Hospital, Michael Garron Hospital",COVID-19,1.6,1.66,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,Global Clinical Network for Infectious Diseases (COVID-19 Project),"SpectrumMD, Unity Technologies (formerly Finger Food), National Collaborating Centre for Infectious Diseases (NCCID), Enso, Massive Change Network, Saskatchewan Health, Alberta Health Services, Nova Scotia Health Authority, Fraser Health, Provincial Health Authority Parent, Horizon Health Network, Vitalite Health Network, New York City Department of Health",COVID-19,2.33,3.17,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,Telewound Care Canada (COVID-19 Project),"Swift Medical, AlayaCare, SE Health, University Health Network (UHN), McGill University Health Centre (MUHC), Central East Local Health Integration Network",COVID-19,2.52,3.07,08/06/2020,"Toronto, ON"
Scale AI Cluster,"Demand-Centric Vendor to Customer AI Supply Chain Model This project will accelerate the integration of AI across London Drugs' supply chain -- from vendor through to consumer -- to yield intelligent forecasting capabilities, enhance productivity, and improve operational efficiency.","London Drugs, Theory and Practice Business Intelligence, Deloitte, Sanctuary Cognitive Systems, Atlantia Holdings",General,3.02,13.81,04/06/2022,"Vancouver, BC"
Scale AI Cluster,Intelligent Yield Optimization Platform for Agricultural Supply Chain This project will enable the development of an intelligent platform that captures operational growth metrics/telemetry as well as image-based insights and links them to their impact on yield and quality.,"Adastra, Johnny's Selected Seeds, Loblaw, Sun Gro Horticulture, University of Guelph, GoodLeaf Farms",General,0.96,2.5,04/06/2022,"Guelph, ON"
Scale AI Cluster,"An AI-powered NDT Platform for Weld Defect Detection and Classification This project will develop an AI-based model to reduce scrap and improve productivity for the midstream welding of steel tailor welded blanks. The AI-based solution will not only predict whether a defect is present, but also classify the type of defect present.","InspecTech Analygas Group, Impact AI, QU Consultants, Royal Military College of Canada, TWB Company, Magna International",General,0.69,2.06,04/06/2022,"Scarborough, ON"
Scale AI Cluster,"AI-Driven Retail Sales and Demand Forecasting This project will bolster Bombardier Recreational Products' supply-chain processes through improved forecasting of customer demand for its products. This forecasting should drive enhancements to the entire supply chain, from the procurement of parts and raw materials, to production and delivery to customers.","Bombardier Recreational Products, IVADO Labs, Performance NC, Motor Sports World, Energy Power Sports",General,1.64,4.35,04/06/2022,"Valcourt, QC"
Scale AI Cluster,Predictive modelling and optimization algorithms in Home Care This project will use predictive modelling to provide a decision-support tool to healthcare professionals to improve patient care.,"AlayaCare, CIUSSS Nord de l'ile, Bien Chez Soi, Polytechnique Montreal, Government of Quebec",General,0.64,1.74,04/06/2022,"Montreal, QC"
Scale AI Cluster,"AloT Fulfilment This project is exploring how applying artificial intelligence and machine learning to disruptive 3D automated storage and retrieval technology can lead to higher efficiencies such as reducing a company's warehouse needs and labour costs. By maximizing the number of items picked-up by the robot, orders will be gathered faster and more efficiently, further reducing the fulfillment cost for customers.","Attabotics, Intel of Canada Ltd., Microsoft, Canadian Tire, Amii, AltaML",General,2.52,7.03,12/08/2021,Multiple Locations
Scale AI Cluster,"AIStotle This project will leverage SemiosBIO's robust historical data set of in-canopy microclimate conditions to develop spatial weather forecasting tools designed to account for variability in a site's crop and topographic characteristics. These new capabilities will provide a lower-cost entry level solution for smaller growers with more precise and granular weather predictions that are tailored to the in-canopy conditions of their farm, supporting more reliable decision-making.","SemiosBIO Technologies Inc., IVADO Labs, Laughing Cayote Orchards",General,1.6,3.62,12/08/2021,"Vancouver, BC"
Scale AI Cluster,"Staff Optimizer and Two-Way Product Recommender for e-Commerce This project will integrate artifical intelligence to an existing e-commerce software suite in order to build strong personalization capabilities that are scalable for retailers more broadly. The tools developed as a result of this project will provide retailers with the ability to categorize their clients, score their likelihood of making a purchase, and prioritize incoming clients in real-time to better capture demand and optimize their store resources. It will also include a product recommender which will subsequently provide product and service recommendations for the relevant customers' clusters based on expected customer needs and available inventory. The goal of this project is to ultimately grow retailer transaction conversion rates, or demand capture, while increasing supply chain efficiency. This new software will be very beneficial to retailers as they will be able to offer more tailored products and services to their customers.","Kognitive Tech Inc., Ivado labs, Roy Foss Motors Ltd., Cellcom Communications",General,1.02,2.93,12/08/2021,"Toronto, ON"
Scale AI Cluster,"Developing an AI-Driven Platform for Last Mile Delivery and Home Installation This project will develop a software as a service AI platform that combines real-time data and artificial intelligence to optimize last-mile delivery and product installations for large Canadian retailers. This intelligent platform will have optimization capabilities that will synthesize existing and real-time data inputs including inventory availability, delivery carrier details, delivery location and contractor skill levels to improve the capacity planning and scheduling of over 5000+ contractors and delivery agents.","Quick Contractors, Tech Consultants Group, Genaire Transport, Canadian Tire",General,0.65,1.98,12/08/2021,"Toronto, ON"
Scale AI Cluster,"AI for Energy Supply Chain Feedstock Optimization Together, project partners will be developing a data layer that consolidates and augments multiple data sources into a single source platform solution to make better operational, commercial, and environmental, social and governance (ESG) decisions. Specifically, this new AI technology will track and predict oil and gas supply chain feedstocks with aims to economics for supply chain participants and reducing environmental waste associated with inefficiencies. The tools being developed are not only useful in both day-to-day operations, but also in the strategic planning of product movements.","Tidewater Midstream and Infrastructure Ltd., Validere Technologies Inc., NOVA Analytics, Queen's University",General,1.21,3.57,12/08/2021,Multiple Locations
Scale AI Cluster,"End-to-end Machine Learning-based Demand Forecasting This project will implement end-to-end artificial intelligence (AI) and machine learning-driven demand forecasting predictive models to increase process efficiencies, help improve forecast accuracy and unlock capacity in the business; ensuring improved service, optimum inventory and better production scheduling. By integrating internal and external demand data from all stores across nine major retail chains, the AI and machine learning-based solution will provide predictive analytics to adjust production for 95% of its goods.","Unilever Canada, Larus Technologies Corporation, Southern Ontario Smart Computing For Innovation",General,0.52,2.2,12/08/2021,"Toronto, ON"
Scale AI Cluster,"AI-powered Satellite Constellation Production This project aims to support the demand, complexity and scale of satellite constellation production by optimizing MDA Corporation's supply chain operations. Project partners will be leveraging artifical intelligence to improve efficiency within the supply chain by reducing waste and optimizing inventory, manufacturing schedules and performance during the production of the satellites and their subsystems.","MDA Corporation, CDW Corporation, Mafina Solutions Inc., Connektica, IVADO Labs",General,1.54,5.73,12/08/2021,"Montreal, QC"
Scale AI Cluster,"Cognitive Capabilities for Aero-engines' Aftermarket This project aims to provide an integrated solution to support decision making across the spare parts sector of the aerospace industry. This new technology will enable intelligent maintenance forecasting, recommendation capabilities for new and used parts as well as an integrated inventory control system. This AI implementation will have lasting positive economic and operational results as the aerospace industry recovers from the impacts of the pandemic. Through this project, partners are accelerating supply chain efficiency to ensure customers have the parts and services they need to grow their businesses at a time where this is more important than ever.","Pratt & Whitney Canada, McKinsey & Company Canada, MOOV AI, Cognitive Group, Standard Aero Limited Winnipeg, Vector Aerospace Engine Services- Atlantic Inc., Schaeffler, Paradigm Orillia Technology, Meloche",General,5.46,23.46,12/08/2021,"Longueuil, QC"
Scale AI Cluster,"Predictive Analytics for Aviation The goal of this project is to use predictive analytics models to enable a more proactive approach to aviation maintenance, limiting aircraft downtime and reducing 'Aircraft on Ground' (AOG) costs for aircraft, as well as providing unique state-of-the-art maintenance support to customers. Aircraft maintenance typically consists of scheduled activities at specific intervals and unscheduled activities when aircraft parts need repair.","Bombardier, GlobVision Inc., IVADO Labs",General,2.95,11.69,12/08/2021,"Montreal, QC"
Scale AI Cluster,"Precision Harvest This project will be developing a break-through technology that will support farmers in crop management decision making. Project partners will be harnessing the power of data and artificial intelligence to give farmers the tools to be more proactive about crop management while reducing the impacts of weather uncertainty. Specifically, the project will help potato growers in sequencing their fields for harvest against objective criteria such as canopy health and wet spots in order to maximize yield.","McCain Foods Group Inc., CP Farms Ltd., Perry Produce, Riverview Farms Corp, Swansfleet Alliance, IVADO, Resson, Fiddlehead Technology",General,0.71,1.85,12/08/2021,Multiple Locations
Scale AI Cluster,"Industrial Video Analytics for Manufacturing Efficiency Project partners will work together to develop advanced video analytics solutions and processes to solve some of the costliest production problems in manufacturing. Industrial video analytics uses computer vision, artificial intelligence and machine learning technologies to study motion patterns of production processes and identify opportunities for improvement or help explain non-standard, unexpected losses of time or motion.","Pacefactory Inc., Toyota Motor Manufacturing Canada, Dupont Sustainable Solutions, Alberta Machine Intelligence Institute, University of Quebec at Rimouski, University of Guelph, Premier Tech, Magna",General,0.9,2.88,12/08/2021,"Oakville, ON"
Scale AI Cluster,"Anomaly Detection (COVID-19 Project) This solution aims to create new models for detecting anomalies in grocery stores driven by transformations in human behaviour throughout the pandemic, causing everyday products to be out of stock, and to react more quickly and avoid shortages that would affect consumers' ability to find basic products in grocery stores and pharmacies.",Loblaw Companies Ltd.,COVID-19,0.5,0.5,11/22/2021,"Brampton, ON"
Scale AI Cluster,"Hospital Capacity Optimization (COVID-19 Project) This solution will focus on the operating room departments in hospitals and quickly offer a first web-based interactive dashboard for visualizing the current situation at the hospital and forecasting its evolution, followed by a resource management optimization capability adapted to the specific context of the hospital center and designed to be reusable in similar contexts. The priority use case identified focuses on the operating room scheduling problem, where AI-based optimization can bring significant cost savings, benefits to staff and to patients. Hospital centers will be able to better anticipate capability gaps, maintain patient care capacity during surges and minimize strain on caregivers.","Brockville General Hospital, Polytechnique Montreal, SimWell Consulting & Technologies, Sodan Conseillers, Thales Canada, Université Laval",COVID-19,1,1.03,11/22/2021,"Brockville, ON"
Scale AI Cluster,"Optimization of surgery patient throughput post-COVID-19 peak (COVID-19 Project) This project is seeking to augment Centre hospitalier de l'Université de Montréal's capabilities in forecasting and optimizing surgery schedules, while balancing the dynamic requirements of the pandemic, to increase the throughput of surgeries conducted on non-COVID-19 patients.",Centre hospitalier de l'Université de Montréal (CHUM),COVID-19,1,1.24,11/22/2021,"Montreal, QC"
Scale AI Cluster,COVI APP (COVID-19 Project) This project is developing a smart and ethical contact-tracing app to fight COVID-19.,"MILA -- Institut québécois d'intelligence artificielle, Adviso, Decision Lab, Libéo",COVID-19,2.23,2.23,11/22/2021,"Montreal, QC"
Scale AI Cluster,"AI-guided tool to maintain safety and quality of cancer treatment (COVID-19 Project) This project is developing an innovative AI solution that will provide capacity planning, online scheduling, metric forecasting and ultimately an action plan to maintain the standard of care through the COVID-19 pandemic.","Centre hospitalier de l'Université de Montréal (CHUM), Gray Oncology",COVID-19,0.51,0.53,11/22/2021,"Montreal, QC"
Scale AI Cluster,COVsight: living COVID medical knowledge-Graph of PandemIA partnership (COVID-19 Project) This project will provide a new approach based on dynamic knowledge graphs to help keep clinicians and other frontline healthcare professionals up to date on the latest medical findings on COVID-19.,"Centre hospitalier de l'Université de Montréal (CHUM), My Intelligent Machines - COVID-19 Project",COVID-19,0.5,0.78,11/22/2021,"Montreal, QC"
Scale AI Cluster,Development of an intelligent planning system for PPE (COVID-19 Project) This project aims to provide the ability to proactively manage PPE through accurate forecasts of patient influx and the ability to optimize orders and stock.,"Centre hospitalier de l'Université de Montréal (CHUM), MUUTAA",COVID-19,0.41,0.55,11/22/2021,"Montreal, QC"
Scale AI Cluster,Optimizing and restarting hospital elective surgery and cancer cases (COVID-19 Project) This project aims to utilize an artificial intelligence enabled digital patient pathway to optimize the restarting of medical procedures and surgeries in a COVID-19 environment.,"William Osler Health System, Seamless MD",COVID-19,0.4,0.53,11/22/2021,"Etobicoke, ON"
Scale AI Cluster,"Support for the decisions and planning of the workforce using AI This project is looking for a new tool to optimize the constantly varying daily workload that depends on port traffic, and the quantity and type of cargo and merchandise. This project will allow for a shift from manual processes and Excel spreadsheets, which offer limited visibility and short-sighted consideration of operational cost optimizations, to AI solutions that allow for more accurate labor requirement estimates.","Halifax Maritime Employers Association (HMEA), Montreal Port Authority, Maritime Employers Association, Port de Trois-Rivières, Hamilton Oshawa Port Authority, CargoM, British Columbia Maritime Employers Association (BCMEA), Airudi, Prof. Foutse Khomh",General,1.24,3.1,11/22/2021,"Montreal, QC"
