Cluster,Project Title and Description,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,iPulse360: Revolutionizing the Future of Cardiometabolic Health with Multimodal,"This project will aim to develop the comprehensive iPulse360 platform that integrates the capabilities of quantum computing, AI and wearable technology to deliver unprecedented real-time monitoring and insights into individual heart health. The project's vision is to support a shift from reactive to proactive healthcare through the enablement of real-time data collection and early warnings of potential health issues.","Myant, PACE Cardiology, Perimeter Institute, Aon Plc",6.08,1.88,05/06/2025,"Toronto, ON"
Digital Technology Cluster,Canadian Precision Health Cloud,"This project will aim to advance Omics AI, an AI-powered platform that rapidly and securely shares and analyzes omics and health data across geographic and digital borders. As an extension of the CP4GPH project, the consortium will aim to accelerate the global go to market strategy of Omics AI to make it faster and easier for data stewards and scientists to use. With its planned objectives, this project will allow Omics AI to generate AI-powered insights from data without it leaving the control of the original data stewards---enabling collaboration on precision health at a global scale while being led by made-in-Canada innovation.","DNAstack, Autism Speaks Canada, The Hospital for Sick Children, Valence Digital Inc., Pacific Biosciences Canada Limited",6.12,18.48,02/05/2025,"Toronto, ON"
Digital Technology Cluster,Compilation Open DEsign (CODE),Sustaining Canada's global quantum leadership requires ensuring that emerging quantum technologies are accessible to wider Canadian industry and benefiting the greatest number of Canadians. The CODE project will aim to accelerate Canadian innovation and research by enabling open-source access for discovering and pioneering new uses for quantum technologies. The development of the Catalyst compiler in the CODE project will seek to be a vital part of being prepared and well positioned to realize and capture the commercial value of fault-tolerant quantum computing,"Xanadu, Haiqu, Open Quantum Design",1.63,4.09,01/25/2025,"Toronto, ON"
Digital Technology Cluster,Optimizing Agricultural Operations with Quantum Computing,"This project aims to advance novel precision agriculture technology poised to revolutionize the agriculture sector with quantum computing. The project represents one of the world's first, if not the first, customer-facing, real-world product powered by quantum computing with previous quantum computing applications being for large organizations in internal optimization. Its resulting solution will aim to model and simulate intricate agricultural scenarios at unprecedented scale and speed for real-time decision making by organizations and growers.","Verge Ag, D-Wave Systems Inc., Prairie Agricultural Machinery Institute (PAMI)",1.92,4.9,01/21/2025,"Calgary, AB"
Digital Technology Cluster,Quantum-Safe Critical Infrastructure Protection,"This project will seek to advance and commercialize a unique, made-in-Canada, software and hardware cryptography solution that is built to withstand the capabilities of quantum computing. From its initial reference deployment, the consortium will build out the solution for progressive deployment by other CI operators. In addition to its secure by design and default, zero trust security model and data-centric encryption, it will be further designed to be robust to failure and available despite failure, with the ability to be integrated into CI systems with minimal system disruption","Quantum Bridge Technologies Inc., Metropolitan Artificial Intelligence Inc., Thales Digital Solutions",1.19,2.98,01/21/2025,"Toronto, ON"
Digital Technology Cluster,Beyond the Noise: Clinical Alarm Fatigue Reduction,"Excessive false clinical alarms are one of the top safety issues for hospital patients contributing to patient anxiety, sleep deprivation, delirium, as well as desensitizing clinicians, wasting valuable clinical time, and causing clinical staff to get irritated and burn out. Across all standard vital signs, the worst excessive alarm offender is pulse oximetry blood oxygen saturation, or SpO2. This project will advance a machine learning (ML) algorithm to reduce nuisance SpO2 alarms by at least 40%, as well as contributing to the development of a standardized platform to rapidly assess the performance of AI modules under real world clinical testing conditions.","Medtronic Canada, Excelar Technologies, University of Toronto, Providence Health Care Ventures (PHCV)",1.7,5.01,09/19/2024,"Vancouver, BC"
Digital Technology Cluster,AI-Enabled Enterprise Risk Management for the Agriculture Sector,"This project will leverage AI to enhance and expand Agi3's Enterprise Risk Management platform to serve as a fully comprehensive risk management solution for Farmers. This farmer-centric platform specifically addresses the unmet needs within the grain sector by generating hyper-individualized, actionable insights and personalized risk profiles used for a variety of purposes such as insurance, finance and sustainability.","Agi3, Agi3 Risk Services, G3 Canada Ltd.",6.95,20.1,09/09/2024,"Oak Bluff, MB"
Digital Technology Cluster,AI-Powered Ultrasound for Gastrointestinal Healthcare,"This project will seek to accelerate the development and initial commercialization of Satisfai Health's Sonai, a software that uses Artificial Intelligence to conduct automated measurements of IUS images, resulting in faster IUS adoption and greater standardization of key measurements. The project supports Canadians in receiving access to ultrasound-based Inflammatory Bowel Disease (IBD) assessment technology that is less invasive, safer, and less expensive than the current standard of endoscopy.","Satisfai Health, Alimentiv, University of Calgary, University of British Columbia, Canadian Bowel Ultrasound Society",1.88,5.7,09/09/2024,"Vancouver, BC"
Digital Technology Cluster,AI-Driven Core Scanning & Assessments for Sustainable Mining,"This project will aim to address the inherent limitations of traditional approaches to constructing 3D block models for assessing the geometallurgical and geoenvironmental aspects of mining deposits by introducing innovative geotechnical and geometallurgical tests, and by integrating automated drill core scanners and AI methodologies. The project will attempt to promote low-impact mining practices by embracing AI-driven solutions within the mining industry, thus revolutionizing geometallurgical and geoenvironmental assessment methodologies.","Agnico Eagle Mines, Enersoft Inc., Malvern Panalytical, Minpraxis Solutions, Université du Québec en Abitibi-Témiscamingue",1.74,5.43,09/09/2024,"Rouyn-Noranda, QC"
Digital Technology Cluster,Subsurface Intelligence to Unlock Critical Minerals Supply (UCM),"This project aims to deliver a subsurface imaging solution to the global mining industry that reduces time to market, cost, risk and environmental impact, while facilitating development of the sustainable supply chains needed to fuel the energy transition. Building on the foundational technologies for mining exploration established during the Earth X-Ray for Low-Impact Mining project, and leveraging advanced 3D visualization, the consortium will expand its focus to include unlocking supply across the full mining value chain -- from exploration through operations to tailings management, reclamation, and aftercare.","Ideon Technologies, Dias Geophysical, VRIFY Technology, Simon Fraser University, Fireweed Metals Corp.",15.78,45.11,09/09/2024,"Vancouver, BC"
Digital Technology Cluster,Postoperative Patient Management Platform (PPMP),"This project will aim to develop an advanced postoperative patient management platform (PPMP) as a strategic continuation of the initial Continuous Connected Patient Care (CCPC) project, adhering to the highest privacy, security and ethical governance framework. Together, the consortium's work will safely and securely utilize in-hospital data collected during CCPC to develop and optimize several AI and ML algorithms for patient risk stratification, actioned through a predictive platform that will accurately assess the risk of postoperative complications, such as anastomotic leaks and respiratory depression following general and gastrointestinal surgeries.","FluidAI Medical, Excelar Technologies, Medtronic Canada, Providence Health Care Ventures, University of Waterloo",1.95,5.71,09/09/2024,"Vancouver, BC"
Digital Technology Cluster,CareAI),"The CareAI project aims to develop a comprehensive AI-driven commercial platform that manages both virtual and human agents for telemedicine and patient contact centers, enabling world-class patient experiences. Using two modules able to be deployed together or separately, the project team will address critical inefficiencies in the healthcare sector, improve patient experiences and reduce operational costs using generative AI technology -- with the ultimate goal of creating a unified, optimal and streamlined experience for both patients and the healthcare providers supporting them.","Wysdom.AI, ORX Surgical, Queen's University, WELL Health Technologies",14.17,46.19,09/09/2024,"Richmond Hill, ON"
Digital Technology Cluster,"PressureSmart: Innovating Prevention, Early Detection & Management of Pressure Injuries","The PressureSmart solution developed through this project will aim to allow clinicians and caregivers in various settings to track when patients will be required to be turned to a new position to prevent PIs. AI-powered depth sensing cameras will be used to create and autonomously monitor 3D models of patients to understand which areas of the body could be highly susceptible to PIs. The PressureSmart solution will also improve the efficiency of several current workflows to reduce the clinical staff burden, making the solution more scalable as required by an aging population anticipating increased needs of hospital care.","Medtronic Canada, Excelar Technologies, Rehabtronics, Swift Medical, AMII, Providence Health Care, Thrive Health Inc",7.21,22.16,09/09/2024,"Brampton, ON/Vancouver, BC"
Digital Technology Cluster,Health Compass II,"The integration of LLMs and AI within healthcare has been slow due to privacy concerns, potential workflow disruptions and patient engagement challenges. To address the struggles clinics experience in accessing and harnessing the power of healthcare data leading to high costs and lost revenue, the Health Compass II project aims to revolutionize healthcare management by offering an easy-to-implement, integrated AI-driven platform for clinics and healthcare providers in both Canada and the United States. Health Compass II will develop a suite of four AI modules integrated through an EMR-agnostic mobile app that are specifically designed to engage patients, automate administrative tasks, assist healthcare providers with documentation, and enhance clinical decision-making.","ORX Surgical Inc., Tali AI, Well Health Technologies, Phelix.ai, Simon Fraser University, Khure Health",15.27,44.16,07/10/2024,"Vancouver, BC"
Digital Technology Cluster,Digital Agent Services Using Artificial Intelligence,"This project will integrate AI camera agents with generative AI, intelligent chatbot functions and queuing (including AI analysis of images) for streamlined public service reporting. The AI cameras will inspect transit infrastructure, identify incidents and monitor amenity conditions while ensuring privacy by blurring personal information. Data collected will be processed using computer vision and geospatial algorithms in the cloud to then present actionable insights to local governments.","Visual Defence Inc., Comm100",2.9,8.33,06/26/2024,"York Region, ON"
Digital Technology Cluster,Using AI-powered nutritional analytics to improve outcomes and efficiencies in Long-Term Care,"This project will incorporate clinically proven AI-powered nutritional assessment technology in a LTC setting to improve patient nutrition and reduce food waste. By using AI to identify the content of postprandial food trays to estimate food consumption and nutritional value from simply a photo, the consortium will aim to improve patient health, manage costs in LTC facilities and reduce systemic food waste.","RxFood Corporation, PointClickCare, Partners Community Health, Trillium Health Partners",1.34,2.64,06/11/2024,"Toronto, ON"
Digital Technology Cluster,Bridging Gaps in Rural Care: Adoption and Implementation of Gotcare Health Ambassadors and AI Tools in the Hastings Region of Ontario,"Half of Canadians wait a few days for in-home health care services, while 1 in 10 wait about a month. In rural, geographically isolated areas with aging and at-risk populations, wait times of even 48 hours can increase hospital readmissions or prevent hospital discharge altogether - thus straining the capacity of healthcare facilities. This project will focus on AI-driven enhancements to Gotcare's patient matching service; delivery of in-home healthcare and virtual support through their Health Ambassador network; and graduating their conceptual model for AI in predictive health monitoring to a fully developed, ready-for-market product. The resulting collaboration of this project will uniquely address the gap in rural healthcare service access by providing a level of efficiency and client personalization currently unmatched.","GotCare, Quintw Health, The Reach Alliance",1.54,3.13,04/11/2024,"Hastings County, ON"
Digital Technology Cluster,Leveraging AI for Next Generation Clinical Trial Technologies(PCAIS Project),"This project aims to augment and develop a comprehensive, integrated 'AI Clinical Buddy System' for more effective patient recruitment, inclusion, adherence, engagement and monitoring of clinical trials within the RxPx platform by working alongside global leaders in the space. Project partners will use Artificial Intelligence, particularly Machine Learning, approaches to design and develop the missing endpoints digitally. Its success has the potential to revolutionize the completion, success and relevancy of clinical trials towards developing more effective medications and therapies for chronic conditions.","RxPx (Curatio), OPTT Health, uMed Technologies Canada Ltd., AxialBridge",3.4,10.58,03/21/2024,"Vancouver, BC"
Digital Technology Cluster,Advanced AI Wound Care Network(PCAIS Project),"This collaborative project between Swift Medical and their project partners aims to accelerate global commercialization of Swift Medical's Skin & Wound solution by integrating three AI-powered technologies for better wound evaluation, risk identification, and reducing variability in treatment. Their clinical, operational and financial benefits will be validated with the project consortium partners to scale across home health, long-term care, hospital and payer markets in rural, Indigenous and urban communities.","Swift Medical, Giishkaandago'Ikwe Health Services, Brightshores Health System, University of Northern BC (UNBC) - Centre for Technology Adoption for Aging in the North",4.5,8.99,03/12/2024,"Toronto, ON"
Digital Technology Cluster,Data Driven Surgical Mining(PCAIS Project),"Novamera's data-driven, real-time 'Surgical Mining' suite of technologies will utilize artificial intelligence (AI) and machine learning (ML) to allow mining companies to extract additional mineral deposits on existing projects and currently unmined projects, supporting increased production while reducing waste by up to 95%, GHG emissions by up to 44% and at a fraction of traditional costs. Their combination of hardware and software solutions generates real-time models of deposits; prescribes a course for surgical, low-impact extraction; and informs how and where to drill with real-time adjustments while using conventional drilling equipment.","Novamera Inc., Great Atlantic Resources Corp, Maritime Resources Corp, Memorial University",3.53,10.01,03/03/2024,"Oakville, ON"
Digital Technology Cluster,Leveraging large language models to predict and mitigate patient risk of hospitalization and optimize home care delivery(PCAIS Project),"Recognizing these administrative challenges in the global healthcare industry, project partners will leverage the potential of large language models (LLMs) and predictive algorithms for AlayaCare's flagship AC Cloud product, -- an extensive health record platform currently used by over 700 home care service providers across North America and Australia -- allowing home care agencies to control costs while retaining precious employees and improving health outcomes.","Alayacare, Bien Chez Soi, Acclaim Health, Polytechnique Montréal",1.14,3.26,02/29/2024,"Montreal, QC"
Digital Technology Cluster,Transforming Cancer Trials with Digital Twins,This project will demonstrate the use of a 'digital twin' of a patient to predict the patient's treatment-specific outcome(s). The predictions would allow physicians to explore different treatment options to see which treatment will result in the best outcome and use that insight to optimally treat patients.,"Altis Labs, SapienML, Bayer AG, AstraZeneca, Trillium Health Partners (THP), University of Calgary, Calgary Image Processing and Analysis Center, Advanced Research Computing, Alberta Health Services",2.28,6.04,04/06/2023,"Toronto, ON"
Digital Technology Cluster,Advanced Robotic Sorting of Consumer Recyclables,"The project is seeking to develop a solution that consists of a vision system, robotic system, and artificial intelligence (AI) that is intended to sort consumer waste at high-throughput and in real-time, thereby reducing the dependency of waste sorters and recyclers on manual labour.","Metaspectral, Merlin Plastics, University of British Columbia (UBC), Magmar Manufacturing",4.48,10.44,04/04/2023,"New Westminster, BC"
Digital Technology Cluster,Canadian Platform for Genomics and Precision Health,"This is a ground-breaking software platform created by a pan-Canadian consortium of innovators to enable federated insights across networks of genomics and health datasets. The platform will deliver better outcomes for Canadians by making it easier to derive AI-powered discoveries across networks of data in neuroscience, oncology, rare disease, infectious disease, health care, agriculture, and beyond.","DNAstack, Autism Speaks Canada, Centre of Genomics and Policy / Royal Institution for the Advancement of Learning, McGill University, Cyclica, Genome Canada, Roche Canada, Holland Bloorview Kids Rehabilitation Hospital, The Hospital for Sick Children (SickKids), Integrate.ai, Pacific BioSciences Research Centre Inc. , Public Health Agency of Canada, University of New Brunswick, Global Alliance for Genomics and Health, Genome Alberta, Genome Atlantic, Genome BC, Genome Prairie, Genome Québec, Ontario Genomics",6.03,14.46,04/03/2023,"Toronto, ON"
Digital Technology Cluster,Health Compass,"This project will apply artificial intelligence to existing electronic medical records, helping physicians find the insights they need, and make critical decisions faster for their patients. Health Compass offers a natural voice interface that recognizes physicians' voices to streamline clinical documentation and queries for patients, applies predictive analytics to help flag high-need patients, and automates the patient journey in primary care and specialty care to connect patients with life changing care quickly.","ORX Surgical, Tali AI, WELL Health Technologies, Simon Fraser University (SFU), Lululemon Athletica, Canadian Health Systems, Ontario Chiropractic Association, Health Data Coalition, Aetna International",3.07,7.27,01/13/2023,"Richmond, BC"
Digital Technology Cluster,Digital Innovation and Leadership (DIAL),This project will help people and companies develop capacity for digital transformation through two responsive new training programs to rapidly skill more than 1100 workers and ultimately strengthen Canada's capacity for digital advancement.,"Simon Fraser University (SFU), Magnet.Today, Traction on Demand, First Nations Technology Council, Radius SFU, Vancouver Economic Commission (VEC)",0.9,8.36,11/17/2022,"Vancouver, BC"
Digital Technology Cluster,Continuous Connected Patient Care,"This project will develop a platform that is a medical-grade digital monitoring solution, which will allow patients to receive care safely in their own homes after discharge. The platform is intended to support safe and effective patient recovery with the use of data analytics, artificial intelligence, and home monitoring technology. This digital platform solution will integrate with existing medical monitors and software systems for a seamless transition and continuous care, from the hospital to patients' homes.","Medtronic Canada, 3D Bridge Solutions, Cloud DX, Excelar Technologies (Connected Displays Inc.), StarFish Medical, Providence Health Care Ventures (PHCV), Simon Fraser University (SFU), Vector Institute",5.22,12.8,11/08/2022,"Brampton, ON"
Digital Technology Cluster,AI-Enabled Metaverse Campus,"This project seeks to develop an AI-enabled virtual campus platform, VirtualCampus.ai, that will allow trainers to co-create and interact with 3D content for the development of immersive training scenarios. These training scenarios will be available in virtual reality (VR) and on desktop computers and will be tailored to the aerospace and naval industry. The platform will include an AI assistant that will enable the creation of the training scenarios, thereby allowing trainers (non-programmers) to build out their own metaverse.","OVA.ai, Babcock Canada, RCN Naval Training Development Centre (Pacific), Cognitive3D, Masterpiece Studio, Toronto Metropolitan University",2.34,5.44,09/07/2022,"Chemin Sainte-Foy, QC"
Digital Technology Cluster,Indigenous Digital Health (IDHE),"This project will develop a new culturally aligned digital platform and suite of integrated applications that will support self-governance and service delivery, automating processes for First Nations, Indigenous, and government organizations managing healthcare, child and family services, housing, education, social development, and other related domains.","Mustimuhw Information Solutions (MIS), Cambian Business Services, Canada Health Infoway, First Nations Health and Social Secretariat of Manitoba, Lifelabs, Trinity Western University, First Nations Digital Health Ontario, Sioux Lookout First Nations Health Authority, SE Health, Chief Red Bear Children's Lodge (Cowessess First Nation), Cowichan Tribes, Mitacs",4.3,10.2,07/21/2022,"Duncan, BC"
Digital Technology Cluster,Iris,"This project uses Artificial Intelligence for diagnostic imaging analysis and treatment planning and monitoring. Iris will increase the speed and accuracy of front-line treatment decisions, improving the capabilities of radiologists and other physicians to consistently find abnormalities in radiology images, improving clinicians' workflow efficiency and the overall quality of radiology services and patient care.","Synthesis Health, BC Cancer Agency, GE Healthcare, Konica Minolta Precision Medicine, University of British Columbia (UBC), Vancouver Coastal Health, Vancouver Coastal Health Research Institute, Mitacs, SapienML, CAN Health Network",5.3,13.5,07/14/2022,"Vancouver, BC"
Digital Technology Cluster,Virtual Production Innovation Studio (VPIS),"This project will develop Canada's first Indigenous-led virtual production facility, focusing on helping 25-30 Indigenous storytellers share their experiences - to create original IP and media, encouraging creation of original Indigenous content for a global audience.","Emily Carr University of Art and Design (ECUAD), Vancouver Film School, Unity Technologies, William F White International, Laboratory of Artistic Intelligence, Rushcut Media (Zeddrive), University of Victoria (UVic), University of British Columbia (UBC), Capilano University, Showmax Event Services, Warner Media",0.08,0.53,07/11/2022,"Vancouver, BC"
Digital Technology Cluster,Diversity Assessment Tool,"This project will make diversity and inclusion assessment, strategy planning, and supporting actions accessible to SMEs by creating an application that will build on 20 years of diversity and inclusion research and practice in order to support organizations in building diverse and inclusive workplaces to attracting and retain more diverse skilled talent.","Simon Fraser University, Toronto Metropolitan University, Magnet, D2L, SalesChoice, Ontario Chamber of Commerce, SheEO, Life Sciences Ontario, Black Business and Professional Association, North Forge Manitoba",0.15,1.42,06/23/2022,"Vancouver, BC"
Digital Technology Cluster,The Upskilling Imperative,"This project will pilot digital upskilling and a post-program support platform to help small businesses across BC, Ontario, and Saskatchewan train, mentor and retain over 250 employees.","Lighthouse Labs, Saskatchewan Polytechnic, XLrator, Vendasta Technologies, Paradigm Consulting Group, Mapster Technology, Graphem Solutions, Berkeley Payment Solutions, Knorket.AI, TalentMarketplace, Fintros AI, ThinkOn, SDAW, X Movement",0.15,1.14,05/19/2022,"Vancouver, BC"
Digital Technology Cluster,Digital Lift,This is an industry-led project that offers rapid skilling for high-demand tech positions and internship learning opportunities across Canada's major industries.,"BC Tech Association, British Columbia Institute of Technology (BCIT), Riipen Networks, SkyHive Technologies, Virtro Technologies, Accenture, Amazon.com, Finning International, Providence Health Care, SAP, Seaspan, MDA Systems, AbCellera Biologics",0.6,4.01,05/19/2022,"Vancouver, BC"
Digital Technology Cluster,Asia Competence for Tech Professionals,"This pilot e-learning course will help Canadian businesspeople develop the knowledge, skills, and experiences that help them tap into the tremendous opportunities in the clean tech and natural resource sectors offered in the Asia-Pacific region.","Asia Pacific Foundation of Canada, Canadian Forest Products, Mosaic Forest Management, Teck Resources",0.02,0.15,05/04/2022,"Vancouver, BC"
Digital Technology Cluster,"Intrapreneurial Development, Enrichment and Action (IDEA Lab)",This program will help SMEs in the tech sector to identify and nurture future innovation leaders from within by identifying a diverse pool of high-potential innovation leaders for incubator-based training within their organization.,"Evolve Strategies, DigitBC, YMCA Metro Vancouver",0.08,0.65,05/04/2022,"Vancouver, BC"
Digital Technology Cluster,Compass,"This project will develop a modular platform to help transform the social safety net and deliver improved and equitable social outcomes. Individuals, families, communities and systems are interconnected which is why responding to their needs requires a holistic approach. For this reason, the Compass platform is a tailored solution for the three target audiences within the social sector; help seekers, service providers, and decision-makers.","HelpSeeker, Canadian Mortgage and Housing Corporation, City of Lethbridge, Corsac Technologies, Homeward Trust Edmonton, Medicine Hat Community Housing Society, University of Toronto, First Nations Information Governance Centre, Microsoft, Mitacs",1.5,4.94,02/22/2022,"Calgary, AB"
Digital Technology Cluster,Standard Data Platform for Autonomous Agriculture,"The Standard Data Platform for Autonomous Agriculture is an interactive operational planning platform that will improve the efficiency of farming, reduce emissions, and increase the net income of farmers. Using analytic data and digital technology, farmers will be able to better plan their farming operations and make data-driven decisions based on economic and environmental factors. This technology will also empower smarter, faster, and more sustainable food production.","Verge Ag, Terramera, i-Open Technologies, Simon Fraser University, QuantoTech, Coutts Agro, Mitacs, Olds College, Whipcord, InBridge",4.35,10.81,02/15/2022,"Calgary, AB"
Digital Technology Cluster,Mining Microbiome and Analysis Platform,"This project is building the first integrated online platform for collecting, storing, and analyzing the genomic data of water, soil, and rock environments to ultimately protect the environment throughout the mining life cycle.","Teck Resources, Koonkie, BGC Engineering, University of British Columbia, Illumnia, Microsoft, Centre for Excellence in Mining Innovation, Genome BC, Rio Tinto Canada Management, Allonnia Canada, Government of BC -- Ministry of Energy, Mines and Low Carbon Innovation, Ginko Bioworks, Tahltan Central Government",3.56,11.68,02/01/2022,"Vancouver, BC"
Digital Technology Cluster,CanDETECT,"This project will use artificial intelligence to develop a precision oncology software that will increase the effectiveness and impact of cancer recurrence monitoring. Using artificial intelligence and machine learning, the software will provide real-time assessments of tumour status and potential response to targeted therapies.","Canexia Health, DNAstack, Illumina, Microsoft, Oxford Nanopore, Queen's University, University Health Network, BC Cancer Research, Kingston General Health Research Institute, Kingston Health Science Centre",5.31,17.88,01/11/2022,"Vancouver, BC"
Digital Technology Cluster,Optimizing Healthcare through Applied Digital Twinning (Feasibility Study),"This project aims to create a digital/virtual copy of St. Paul's Emergency Department in order to optimize design, workflow and simulate operations and inform the construction of the hospital of the future.","Providence Healthcare, Cisco, University of British Columbia (UBC), LlamaZoo, IBI Group, Empower Health, Microsoft, Change Healthcare",0.1,0.13,12/02/2021,"Vancouver, BC"
Digital Technology Cluster,Virtual Clean-Energy Training Platform for First Nations Communities,"This project will work directly with rural indigenous communities in the Northwest Territories to create a virtual training platform in Clean Energy Power technologies. The training program aims to provide trainees with the digital skills required to operate, maintain and repair power plants based on renewable sources of energy.","British Columbia Institute of Technology (BCIT), Siemens Canada, Denesoline Corp",0.15,1.2,11/30/2021,"Lutsel K'e, NT"
Digital Technology Cluster,Earth X-ray for Low Impact Mining,"This project will give mining companies unprecedented visibility up to 1 km beneath the Earth's surface, much like x-rays give us visibility inside the body. The consortium will build, test, and deploy powerful new-to-the-world technology that will help precision-target deposits and create the environmentally responsible critical mineral supply chains needed to fuel the energy transition.","Ideon Technologies, Dias Geophysical, Fireweed Zinc, Simon Fraser University",5.58,13.5,11/25/2021,"Richmond, BC"
Digital Technology Cluster,Coastal First Nations Connectivity Network,"This project will improve the connectivity of remote Indigenous communities to support opportunities for remote work, education and telehealth. This will create the foundation for the future Coastal First Nations digital economy and serve as a winning model of collaborative innovation for other Indigenous communities across Canada.","Coastal First Nations, First Nations Technology Council, Innovation Island, Llama ZOO Interactive, Microsoft, Rogers, TakingITGlobal, Vancouver Island University",0.13,0.73,11/16/2021,"Vancouver, BC"
Digital Technology Cluster,Digital Aircraft Record System (DARS),"This project will streamline processes and increase productivity with a digital solution that leverages blockchain technology. The objective is for DARS to be the world's first industry-wide aircraft maintenance data platform, replacing paper records for an aircraft with a digital alternative that offers greater insight and reduces manual work. A core part of the project involves the creation of digital workflow applications to provide efficiency improvements and a digital data platform for storing maintenance records throughout the lifecycle of an aircraft.","TrustFlight, Boeing, RaceRocks, University of British Columbia (UBC)",4.22,10.18,11/15/2021,"Vancouver, BC"
Digital Technology Cluster,Athena Digital Leaders,"Building on the success of the Athena Pathways pilot, the Athena Digital Leaders project seeks to increase technology adoption and foster more diverse technology leadership. In leveraging the network and expertise of nine partners, more than 40 mentors and 25 hiring organizations, this project aims to increase demand for AI, machine learning and data science skills by promoting adoption through thought leadership events and executive workshops. It will also create a supply of diverse talent in these fields including women, recent immigrants and racialized Canadians - especially for in-demand junior and mid-level leadership roles.","AINBC, KPMG, University of British Columbia (UBC), Simon Fraser University (SFU), Northeastern University, Immigrant Employment Council of BC, Variational AI, FinnAI",0.15,1.06,07/27/2021,"Vancouver, BC"
Digital Technology Cluster,Wellbeing.ai,"This project will help us to better understand personal wellbeing, by developing a 'digital brain' (virtual assistant) that will use AI models and optimization products to analyze human interactions and one's environment in order to provide a personalized wellness coaching experience. Individuals will be able to work with a digital wellness agent that will combine assessment and coaching to achieve their personal wellness goals.","Lululemon Athletica, Wysdom.AI, Microsoft, Queen's University, Mitacs",8.49,20,07/27/2021,"Vancouver, BC"
Digital Technology Cluster,Autism Sharing Initiative,"This project aims to create a federated, global network for sharing genomics and clinical data to accelerate discoveries and the development of precision therapeutics in autism.","DNAstack Corp, Hoffman-La Roche Limited (Roche Canada), University of British Columbia, AutismSpeaks, AutismSpeaks Canada, SickKids, McGill University, Excelar Technologies, Molecular You, Pacific Autism Family Centre Foundation",4.31,11.2,06/02/2021,"Vancouver, BC"
Digital Technology Cluster,Workplace Brain Health,"This project aims to develop a brain health data repository to help employers and employees better understand how sleep and meditation impact cognitive functions such as learning, thinking, reasoning, remembering, problem solving and decision making. As a result, the consortium aims to determine the impact of cognitive performance on the overall health and safety of Canadian workers, especially in sectors such as manufacturing and healthcare.","Interaxon, Cambridge Brain Sciences, Western University, Hatch",0.87,2.04,03/12/2021,"Vancouver, BC"
Digital Technology Cluster,Canadian Tech Talent Accelerator,"This capacity building project will support Canada's economic recovery by providing valuable, in-demand tech skills through a 15-week online skills training and job placement program. The program will equip 2,500 underrepresented youth (18 to 29 years old) for in-demand digital careers across Canada.","NPower Canada, Microsoft Canada, Blueprint",1.43,8.96,01/28/2021,Multiple Locations
Digital Technology Cluster,Multi-Omics and Medical Imaging Engine,"More than ever, healthcare organizations are seeking more efficient and effective ways to deliver healthcare. This project seeks to add valuable data to enhance the capabilities of health data platforms currently being developed and deployed by provincial health authorities across Canada. It proposes a feasibility study for creating a MOMI engine to improve the resiliency of health systems, advance translational medicine and enhance health research and innovation capabilities in Canada.","PHEMI Systems Corp., Providence Health Care, BC Ministry of Health, Provincial Health Services Authority, Vancouver Coastal Health (VCH)",0.2,0.26,11/19/2020,"Vancouver, BC"
Digital Technology Cluster,COVID Cloud (COVID-19 Project),"In its feasibility study phase, this project enabled the scientific and medical communities to share and discover knowledge about the genetics of the COVID-19 virus in real time over a cloud-based global network. Now the project is evolving to develop 'COVID Cloud', a software solution that will enable researchers to harness COVID-related genomic and clinical data and deliver timely insights through state-of-the-art biomedical data discovery, analysis, and access. This will improve our knowledge at a speed and scale that would not otherwise be possible, and inform new ways to diagnose and treat people affected by the virus.","DNAstack, BioSymetrics, The Centre of Genomics and Policy at McGill University, FACIT, Genome BC, Mannin Research, McMaster University, Ontario Genomics, Ontario Institute for Cancer Research (OICR), Roche Diagnostics, Sunnybrook Research Institute, Vector Institute, Microsoft, Global Alliance for Genomics & Health, Hospital for Sick Children",3.43,5.4,10/22/2020,"Toronto, ON"
Digital Technology Cluster,Screen O/S (COVID-19 Project),"In its early stages, this project funded a proof of concept e-Grocery management system that manages food quality and freshness, while optimizing packing and deliveries. This project has pivoted to introduce the Scaling Safe Food Delivery for Canadians: A Pandemic-Ready e-Grocery Solution, covering everything a retailer needs to offer online grocery sales at scale and helping to ensure food security for all Canadians.","EcoScreen Solutions Inc., EcoMine Technologies, UBC, Patriot One Technologies, Univerity of North Dakota, Nomadic Pictures, Thunderbird Entertainment",0.56,1.17,10/22/2020,"Vancouver, BC"
Digital Technology Cluster,Scaling Safe Food Delivery For Canadians (COVID-19 Project),"At the feasibility study phase, this project used artificial intelligence to rapidly establish links between drugs that have the potential to combat the effects of COVID-19, helping to fast-track life-saving treatment for patients. This project is now evolving to build on its success and find new, safe COVID-19 therapeutics that could be sold commercially in Canada and worldwide.","FoodX, Microsoft, ETG Consulting, Routific, OpsGuru, AtlaML, Meridian Farm Market, SPUD, 1Qbit",2.83,3.95,10/22/2020,"Vancouver, BC"
